subject,frame,kernel,shots,accuracy,gram_var
11,sensor,HS-RBF,1000000,0.4592592592592592,0.00028176315933398663
11,sensor,HS-overlap,-1,0.4444444444444445,0.00028176315933398663
11,sensor,HS-RBF,-1,0.6518518518518519,0.00028176315933398663
11,reference,HS-overlap,100,0.4666666666666666,1.4701557265176836e-05
11,reference,HS-RBF,100,0.36296296296296293,1.4701557265176836e-05
11,reference,HS-overlap,1000,0.4740740740740741,1.4701557265176836e-05
11,reference,HS-RBF,1000,0.4962962962962963,1.4701557265176836e-05
11,reference,HS-overlap,10000,0.5111111111111112,1.4701557265176836e-05
11,reference,HS-RBF,10000,0.5037037037037038,1.4701557265176836e-05
11,reference,HS-overlap,100000,0.4518518518518519,1.4701557265176836e-05
11,reference,HS-RBF,100000,0.46666666666666673,1.4701557265176836e-05
11,reference,HS-overlap,1000000,0.4592592592592593,1.4701557265176836e-05
11,reference,HS-RBF,1000000,0.3925925925925926,1.4701557265176836e-05
11,reference,HS-overlap,-1,0.5037037037037038,1.4701557265176836e-05
11,reference,HS-RBF,-1,0.44444444444444436,1.4701557265176836e-05
12,sensor,HS-overlap,100,0.48888888888888893,0.000732824997301353
12,sensor,HS-RBF,100,0.48888888888888893,0.000732824997301353
12,sensor,HS-overlap,1000,0.562962962962963,0.000732824997301353
12,sensor,HS-RBF,1000,0.5333333333333333,0.000732824997301353
12,sensor,HS-overlap,10000,0.5037037037037037,0.000732824997301353
12,sensor,HS-RBF,10000,0.4444444444444444,0.000732824997301353
12,sensor,HS-overlap,100000,0.4962962962962963,0.000732824997301353
12,sensor,HS-RBF,100000,0.474074074074074,0.000732824997301353
12,sensor,HS-overlap,1000000,0.5333333333333333,0.000732824997301353
12,sensor,HS-RBF,1000000,0.46666666666666673,0.000732824997301353
12,sensor,HS-overlap,-1,0.5333333333333333,0.000732824997301353
12,sensor,HS-RBF,-1,0.6518518518518519,0.000732824997301353
12,reference,HS-overlap,100,0.5851851851851853,1.9722106244299574e-05
12,reference,HS-RBF,100,0.4814814814814815,1.9722106244299574e-05
12,reference,HS-overlap,1000,0.4962962962962963,1.9722106244299574e-05
12,reference,HS-RBF,1000,0.548148148148148,1.9722106244299574e-05
12,reference,HS-overlap,10000,0.4962962962962962,1.9722106244299574e-05
12,reference,HS-RBF,10000,0.5037037037037037,1.9722106244299574e-05
12,reference,HS-overlap,100000,0.49629629629629624,1.9722106244299574e-05
12,reference,HS-RBF,100000,0.5185185185185185,1.9722106244299574e-05
12,reference,HS-overlap,1000000,0.6444444444444445,1.9722106244299574e-05
12,reference,HS-RBF,1000000,0.6370370370370371,1.9722106244299574e-05
12,reference,HS-overlap,-1,0.6296296296296297,1.9722106244299574e-05
12,reference,HS-RBF,-1,0.6148148148148148,1.9722106244299574e-05
13,sensor,HS-overlap,100,0.43703703703703695,0.002728640581451999
13,sensor,HS-RBF,100,0.362962962962963,0.002728640581451999
13,sensor,HS-overlap,1000,0.42962962962962964,0.002728640581451999
13,sensor,HS-RBF,1000,0.40740740740740744,0.002728640581451999
13,sensor,HS-overlap,10000,0.5777777777777778,0.002728640581451999
13,sensor,HS-RBF,10000,0.5185185185185186,0.002728640581451999
13,sensor,HS-overlap,100000,0.5925925925925927,0.002728640581451999
13,sensor,HS-RBF,100000,0.5407407407407409,0.002728640581451999
13,sensor,HS-overlap,1000000,0.5851851851851853,0.002728640581451999
13,sensor,HS-RBF,1000000,0.5407407407407409,0.002728640581451999
13,sensor,HS-overlap,-1,0.5777777777777778,0.002728640581451999
13,sensor,HS-RBF,-1,0.49629629629629635,0.002728640581451999
13,reference,HS-overlap,100,0.562962962962963,7.0316872890739e-05
13,reference,HS-RBF,100,0.5111111111111111,7.0316872890739e-05
13,reference,HS-overlap,1000,0.5629629629629631,7.0316872890739e-05
13,reference,HS-RBF,1000,0.5185185185185185,7.0316872890739e-05
13,reference,HS-overlap,10000,0.674074074074074,7.0316872890739e-05
13,reference,HS-RBF,10000,0.711111111111111,7.0316872890739e-05
13,reference,HS-overlap,100000,0.6148148148148149,7.0316872890739e-05
