kernel,n_channels,n_qubits,mean,std,variance,min,max,shots_for_1sigma,subject
HS-overlap,32,5,0.9421219029828881,0.041607064911027336,0.001731147850510442,0.7650024222292959,0.9965195529272788,577.6514118682252,6
Fidelity,32,5,0.9561723713535251,0.03394411202547961,0.0011522027411983095,0.8383178139995864,0.9985810161225275,867.9028127983655,6
HS-RBF,32,5,0.4066887155524067,0.2895948648289301,0.08386518573528629,0.0017283480893277138,0.9695558965636099,11.923898948443513,6
Bures-RBF,32,5,0.40301008291183565,0.2733855793554773,0.07473967499952998,0.008392674471957039,0.9605989537700375,13.379774530813638,6
HS-overlap,64,6,0.8259668860714624,0.14490747488692243,0.020998176278104054,0.3309695855495603,0.9890691116468874,47.62318340201547,6
Fidelity,64,6,0.9020861363729641,0.07875979128949717,0.006203104723965154,0.6255870527906873,0.9938732905885904,161.2095949527641,6
HS-RBF,64,6,0.40528837318301036,0.31187421484123956,0.09726552588283964,0.00020077660749477508,0.9622605728993664,10.281134974837245,6
Bures-RBF,64,6,0.4195572205460844,0.29023308599570696,0.08423524420659144,0.005804233145147721,0.9272177327411256,11.871515413992825,6
HS-overlap,4,2,0.9824166750730228,0.016357862519388106,0.0002675796662032022,0.8957610752745078,0.9997774876637856,3737.2047517265073,7
Fidelity,4,2,0.9752158121019838,0.02523162627223105,0.0006366349643415402,0.8525349762413316,0.9998650826758074,1570.7588429961297,7
HS-RBF,4,2,0.392559466206026,0.2922292325538181,0.08539792435899352,0.00012809689586579657,0.9898231992130575,11.709886481505412,7
Bures-RBF,4,2,0.4024773015286468,0.30059663947881793,0.09035833966595844,7.160906486534554e-05,0.9916374627868147,11.067047089365007,7
HS-overlap,8,3,0.9837270284330656,0.011815008561388188,0.00013959442730567616,0.9292602321744161,0.9994412867359656,7163.609746471148,7
Fidelity,8,3,0.973895746891859,0.022826624013979946,0.000521054763875606,0.8811309248082405,0.9995554390988146,1919.184065340846,7
HS-RBF,8,3,0.39395416911175873,0.2660406714276633,0.0707776388536819,0.0022534821239587792,0.9780607037560979,14.128756146659436,7
Bures-RBF,8,3,0.3909506656162684,0.26407761082402226,0.06973698453852376,0.0015796105538712487,0.976883718700714,14.339593353761733,7
HS-overlap,16,4,0.9810311615894782,0.01318665528823016,0.00017388787769060846,0.9132500742705773,0.9989722954047994,5750.832164271156,7
Fidelity,16,4,0.968015242561327,0.024870386371020993,0.0006185361182438667,0.8427638584668133,0.9981242384355058,1616.7204638577562,7
HS-RBF,16,4,0.38625239770535214,0.25281871139620965,0.06391730083203996,0.0025594459177652597,0.9505933375421505,15.645216349604173,7
Bures-RBF,16,4,0.37526330585866297,0.23133576053913313,0.05351623410421915,0.0012184581580458116,0.9260709855027845,18.68591870744435,7
HS-overlap,32,5,0.9565313990793985,0.026331916251102046,0.000693369813455052,0.7963354658664649,0.9973432952398541,1442.2318084731928,7
Fidelity,32,5,0.9481682391400399,0.03220706949040017,0.0010372953251594655,0.7225815207339719,0.9927017727914258,964.045605668056,7
HS-RBF,32,5,0.37521420026894536,0.21487962859940488,0.04617325478701818,0.002307964466209516,0.9213632421783073,21.657559221516145,7
Bures-RBF,32,5,0.36701141763144035,0.18562105747176766,0.03445517697693727,0.001071133704592953,0.8464246066722148,29.02321473110861,7
HS-overlap,64,6,0.913165870661965,0.056962037463567504,0.0032446737120008676,0.6045757659258238,0.9945939468904652,308.1973994184265,7
Fidelity,64,6,0.9226535117373349,0.04585094884523022,0.0021023095100079184,0.605345686804241,0.9852102372314706,475.6673530893334,7
HS-RBF,64,6,0.37974061550189964,0.2066625660746302,0.042709416216550895,0.0009312230268267779,0.9128680289034383,23.4140404759847,7
Bures-RBF,64,6,0.3659883517994953,0.17459563295981345,0.030483635048637898,0.0013243061810300084,0.8012321035412253,32.80448668291884,7
