subject,direction,frame,pipeline,group,accuracy,auc,best,n_train,n_test
4,1test->0train,reference,quantum/Bures-RBF,quantum,0.7638888888888888,0.8323688271604938,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
4,1test->0train,reference,quantum/QRE-RBF,quantum,0.7638888888888888,0.8325617283950617,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
5,0train->1test,sensor,classical/TS+LR,classical,0.5138888888888888,0.5534336419753086,"{""clf__C"": 0.1}",144,144
5,0train->1test,sensor,classical/MDM,classical,0.4861111111111111,0.4880401234567901,{},144,144
5,0train->1test,sensor,control/riemann-kernel-SVM,control,0.5,0.501736111111111,"{""C"": 0.1}",144,144
5,0train->1test,sensor,control/logeuclid-kernel-SVM,control,0.5069444444444444,0.5007716049382716,"{""C"": 0.1}",144,144
5,0train->1test,sensor,quantum/HS-overlap,quantum,0.5347222222222222,0.545138888888889,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
5,0train->1test,sensor,quantum/Fidelity,quantum,0.5347222222222222,0.5482253086419753,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
5,0train->1test,sensor,quantum/HS-RBF,quantum,0.5763888888888888,0.5665509259259259,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
5,0train->1test,sensor,quantum/Bures-RBF,quantum,0.5625,0.5565200617283951,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
5,0train->1test,sensor,quantum/QRE-RBF,quantum,0.5625,0.5574845679012346,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
5,1test->0train,sensor,classical/TS+LR,classical,0.5069444444444444,0.5395447530864197,"{""clf__C"": 10.0}",144,144
5,1test->0train,sensor,classical/MDM,classical,0.4375,0.4974922839506173,{},144,144
5,1test->0train,sensor,control/riemann-kernel-SVM,control,0.5,0.5169753086419753,"{""C"": 1.0}",144,144
5,1test->0train,sensor,control/logeuclid-kernel-SVM,control,0.4791666666666667,0.5285493827160493,"{""C"": 10.0}",144,144
5,1test->0train,sensor,quantum/HS-overlap,quantum,0.5138888888888888,0.4809992283950617,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
