subject,frame,pipeline,group,accuracy,auc,best
35,sensor,quantum/QRE-RBF,quantum,0.6666666666666666,0.6343873517786561,"{""C"": 10.0, ""gamma_mult"": 0.25}"
36,sensor,classical/TS+LR,classical,0.4888888888888889,0.4031620553359684,"{""clf__C"": 10.0}"
36,sensor,classical/MDM,classical,0.4444444444444444,0.43478260869565216,{}
36,sensor,control/riemann-kernel-SVM,control,0.4444444444444444,0.41304347826086957,"{""C"": 0.1}"
36,sensor,control/logeuclid-kernel-SVM,control,0.4222222222222222,0.4426877470355732,"{""C"": 10.0}"
36,sensor,quantum/HS-overlap,quantum,0.4666666666666667,0.4090909090909091,"{""C"": 10.0, ""gamma_mult"": 1.0}"
36,sensor,quantum/Fidelity,quantum,0.3333333333333333,0.3458498023715415,"{""C"": 10.0, ""gamma_mult"": 1.0}"
36,sensor,quantum/HS-RBF,quantum,0.4444444444444444,0.34980237154150196,"{""C"": 10.0, ""gamma_mult"": 1.0}"
36,sensor,quantum/Bures-RBF,quantum,0.37777777777777777,0.34782608695652173,"{""C"": 10.0, ""gamma_mult"": 0.25}"
36,sensor,quantum/QRE-RBF,quantum,0.4222222222222222,0.33794466403162055,"{""C"": 10.0, ""gamma_mult"": 0.25}"
19,reference,classical/TS+LR,classical,0.6666666666666666,0.7430830039525692,"{""clf__C"": 1.0}"
19,reference,classical/MDM,classical,0.6666666666666666,0.7786561264822134,{}
19,reference,control/riemann-kernel-SVM,control,0.6888888888888889,0.7569169960474309,"{""C"": 0.1}"
19,reference,control/logeuclid-kernel-SVM,control,0.6888888888888889,0.7569169960474309,"{""C"": 0.1}"
19,reference,quantum/HS-overlap,quantum,0.6444444444444445,0.7351778656126482,"{""C"": 10.0, ""gamma_mult"": 1.0}"
19,reference,quantum/Fidelity,quantum,0.6666666666666666,0.741106719367589,"{""C"": 10.0, ""gamma_mult"": 1.0}"
19,reference,quantum/HS-RBF,quantum,0.6,0.7312252964426877,"{""C"": 1.0, ""gamma_mult"": 0.25}"
19,reference,quantum/Bures-RBF,quantum,0.6444444444444445,0.7747035573122529,"{""C"": 0.1, ""gamma_mult"": 0.25}"
19,reference,quantum/QRE-RBF,quantum,0.6444444444444445,0.7747035573122529,"{""C"": 0.1, ""gamma_mult"": 0.25}"
20,reference,classical/TS+LR,classical,0.6444444444444445,0.6581027667984191,"{""clf__C"": 0.1}"
20,reference,classical/MDM,classical,0.6,0.6086956521739131,{}
20,reference,control/riemann-kernel-SVM,control,0.6666666666666666,0.6067193675889329,"{""C"": 1.0}"
20,reference,control/logeuclid-kernel-SVM,control,0.6666666666666666,0.6067193675889329,"{""C"": 1.0}"
20,reference,quantum/HS-overlap,quantum,0.5777777777777777,0.6106719367588933,"{""C"": 10.0, ""gamma_mult"": 1.0}"
20,reference,quantum/Fidelity,quantum,0.6666666666666666,0.6225296442687747,"{""C"": 10.0, ""gamma_mult"": 1.0}"
20,reference,quantum/HS-RBF,quantum,0.6222222222222222,0.6264822134387352,"{""C"": 1.0, ""gamma_mult"": 0.25}"
20,reference,quantum/Bures-RBF,quantum,0.5333333333333333,0.6264822134387351,"{""C"": 0.1, ""gamma_mult"": 0.25}"
20,reference,quantum/QRE-RBF,quantum,0.5333333333333333,0.6284584980237155,"{""C"": 0.1, ""gamma_mult"": 0.25}"
